SNPID MAF MM Mm mm MM Mm mm
rs419010 0.493 112 278 150 206 348 150
rs394221 0.487 149 269 91 153 325 180
rs4803766 0.434 136 273 130 265 328 107
rs395908 0.280 228 240 70 414 261 26
rs519113 0.273 237 226 73 423 258 23
rs412776 0.257 245 230 65 440 237 19
rs3865427 0.209 299 198 43 481 206 14
rs3852860 0.321 191 268 77 359 292 36
rs3852861 0.318 196 261 80 375 294 39
rs6857 0.180 316 184 26 504 183 11
rs157580 0.467 192 262 85 162 351 187
rs157581 0.329 194 251 90 363 281 47
rs157582 0.292 212 240 80 417 250 36
rs157583 0.043 465 57 7 659 34 0
rs1160983 0.048 511 30 0 616 82 3
rs157587 0.043 467 58 6 668 36 0
rs283817 0.044 468 61 7 673 35 0
rs573199 0.038 472 52 7 675 28 0
rs1160985 0.266 323 192 28 346 300 57
rs760136 0.265 323 191 27 338 294 57
rs741780 0.269 314 193 26 340 306 57
rs394819 0.043 473 58 7 672 35 0
rs405697 0.496 98 276 167 216 348 137
rs10119 0.229 249 225 66 509 189 13
rs446037 0.044 468 60 7 674 34 1
rs434132 0.043 474 59 7 675 34 0
rs7259620 0.264 319 189 27 349 301 56
rs449647 0.049 457 70 2 658 44 1
rs769446 0.036 522 22 0 647 60 4
rs440446 0.426 125 270 129 261 319 81
rs429358 0.167 298 202 47 590 124 1
rs7256200 0.128 348 164 27 608 101 0
rs483082 0.208 274 213 51 504 172 12
rs584007 0.439 129 279 130 248 358 95
rs4420638 0.203 297 199 41 565 135 1
